,name,rating,reviews,type,hq,old,employees
6133,Group Bayport,4.4,118,12 years old,,Ahmedabad +3 more,1k-5k Employees
6134,Eduvanz,3.8,118,Startup,Mumbai +4 more,8 years old,201-500 Employees
6135,SLAP,4.0,118,Anantapur +11 more,,,11-50 Employees (Global)
6136,BigStep Technologies,4.4,118,16 years old,,Gurgaon/Gurugram +1 more,51-200 Employees
6137,Theorem Incorporation,3.6,118,22 years old,,Chatham +2 more,1k-5k Employees
6138,L&T Power Transmission & Distribution,4.4,118,Chennai +24 more,,,1k-5k Employees
6139,Nippon Toyota,4.3,117,25 years old,,Kochi/Cochin +9 more,201-500 Employees
6140,Avance Consulting Services,3.7,117,17 years old,,London +3 more,501-1k Employees
6141,Arihant Publications,3.7,117,27 years old,,Meerut +16 more,51-200 Employees
6142,Trafigura,3.2,117,31 years old,,Singapore +2 more,501-1k Employees
6143,Nitor Infotech,3.9,117,18 years old,,United states +1 more,501-1k Employees
6144,Autocop India,3.6,117,35 years old,,Mumbai  +27 more,201-500 Employees
6145,Trinity Mobility,3.0,117,13 years old,,Bangalore +6 more,201-500 Employees
6146,Saraswati Accountants Software,4.7,117,State,New Delhi +2 more,25 years old,51-200 Employees
6147,Government Polytechnic Nagpur,3.6,117,State,Nagpur +51 more,110 years old,1k-5k Employees
6148,Vipul Motors,4.1,117,37 years old,,Faridabad +6 more,201-500 Employees
6149,Silicon Valley Bank,4.5,117,41 years old,,Santa Clara +3 more,Public
6150,Sapphire International School,4.6,117,21 years old,,Noida +9 more,51-200 Employees (Global)
6151,Xotik Frujus,3.1,117,17 years old,,Mumbai +30 more,201-500 Employees
6152,Singer India,4.4,117,Public,Delhi/NCR +27 more,47 years old,201-500 Employees
6153,Aeon Credit Service,3.7,117,13 years old,,Mumbai +8 more,201-500 Employees
6154,Anna University,3.9,117,46 years old,,Chennai +14 more,1k-5k Employees
6155,Cummins Turbo Technologies,4.0,117,,,,Dewas +5 more
6156,NTL Electronics India,4.3,117,31 years old,,Noida +10 more,201-500 Employees
6157,Zopper,3.3,117,13 years old,,Noida +23 more,501-1k Employees
6158,Zinnov Management Consulting,3.3,117,22 years old,,The Woodlands +9 more,501-1k Employees
6159,Mitsubishi Power India,4.1,117,10 years old,,Yokohama +9 more,5k-10k Employees
6160,IndiaLends,3.7,117,Startup,Delhi +4 more,10 years old,201-500 Employees
6161,Ferromatik Milacron,4.1,117,140 years old,,Ahmedabad +8 more,11-50 Employees
6162,Anytime Fitness,3.5,117,23 years old,,Delhi +21 more,51-200 Employees
6163,Sankara Nethralaya,3.9,117,46 years old,,Chennai +4 more,10k-50k Employees
6164,Live Connections,3.8,117,28 years old,,Chennai +9 more,51-200 Employees
6165,Brickwork Ratings,3.9,117,17 years old,,Bengaluru +19 more,201-500 Employees
6166,Mordor Intelligence,3.5,117,11 years old,,Hyderabad/Secunderabad +1 more,201-500 Employees
6167,Kiran Motors,4.1,117,38 years old,,Ahmedabad +10 more,501-1k Employees (Global)
6168,East African (I) Overseas Dehradun,3.8,117,44 years old,,Dehradun +4 more,201-500 Employees
6169,Bharat Coking Coal,4.2,117,Central,Dhanbad +15 more,52 years old,10k-50k Employees
6170,CTX Life Science,4.1,117,20 years old,,Surat +4 more,201-500 Employees
6171,SMCC Construction India,4.1,117,28 years old,,New Delhi +11 more,51-200 Employees
6172,Aress Software and Education Technologies,2.9,117,25 years old,,Nasik/Nashik +3 more,201-500 Employees (Global)
6173,Eglo India,3.1,117,55 years old,,Pill +6 more,51-200 Employees
6174,Entertainment Network India,3.4,117,Public,Mumbai +36 more,25 years old,1k-5k Employees
6175,Khandelwal Laboratories,3.9,117,79 years old,,Mumbai +13 more,1k-5k Employees
6176,Umang Dairies,3.7,117,Public,New Delhi +13 more,30 years old,201-500 Employees
6177,Quest Global Technologies,3.9,117,11 years old,,Indore +11 more,51-200 Employees
6178,Hegde & Hegde Pharmaceutica,4.0,117,35 years old,,Mumbai +30 more,11-50 Employees
6179,Evertogen Life Sciences,3.3,117,11 years old,,Hyderabad +5 more,51-200 Employees
6180,AIDA Cruises,4.2,117,28 years old,,Rostock +8 more,201-500 Employees
6181,MAHLE Engine Components,3.6,117,104 years old,,Stuttgart +16 more,201-500 Employees
6182,Oceanic Pharmachem,4.3,117,26 years old,,Mumbai +2 more,11-50 Employees
6183,Gujarat Energy Transmission Corporation,4.2,117,State,Vadodara +30 more,25 years old,10k-50k Employees
6184,High Court Lucknow,4.5,117,Lucknow +20 more,,,201-500 Employees (Global)
6185,Dish Infra Services,3.9,117,Delhi +47 more,,,501-1k Employees
6186,Motilal Oswal Securities,4.2,117,,,,Mumbai +21 more
6187,Sellcraft Global Solutions,3.8,117,37 years old,,Pune +8 more,51-200 Employees
6188,Unthinkable Solutions,3.1,117,5 years old,,Gurgaon +1 more,501-1k Employees
6189,Paynearby Technologies,4.1,117,,,,Mumbai +35 more
6190,Vilas Javdekar Developers,3.8,117,Pune +2 more,,,201-500 Employees
6191,HP Global e-Business Operations,4.1,117,Public,Palo Alto +4 more,85 years old,1-10 Employees
6192,Bajaj Finserv Health,3.6,117,Pune +20 more,,,1k-5k Employees
6193,Hidoc Dr,4.9,117,7 years old,,Pune,51-200 Employees
6194,Airproducts,4.0,117,Public,Trexlertown +7 more,84 years old,501-1k Employees
6195,Cogito Tech,3.4,117,Noida +3 more,,,201-500 Employees
6196,Radius Global Solutions,3.0,116,11 years old,,Minneapolis +2 more,501-1k Employees
6197,Zerodha,4.0,116,Public,Bangalore +19 more,14 years old,1k-5k Employees
6198,Reserve Bank of India,4.6,116,Central,Mumbai +24 more,89 years old,10k-50k Employees
6199,Maintec Technologies,3.4,116,26 years old,,Bangalore/Bengaluru +8 more,1k-5k Employees
6200,Corbus,3.8,116,30 years old,,West Carrollton +4 more,201-500 Employees
6201,Maaden Phosphate Company,4.2,116,15 years old,,Al Jalamid +8 more,11-50 Employees
6202,ContinuServe Softech India,3.4,116,21 years old,,Cambridge +2 more,201-500 Employees
6203,Skechers,4.3,116,Manhattan Beach +38 more,,,32 years old
6204,Ven Consulting,3.4,116,14 years old,,Bengaluru +22 more,51-200 Employees
6205,Graphite India,3.8,116,Public,Nasik/Nashik +7 more,62 years old,1k-5k Employees
6206,Executive Ship Management,3.9,116,26 years old,,Singapore +9 more,1k-5k Employees
6207,GKN Sinter Metals,3.9,116,122 years old,,Auburn Hills +7 more,51-200 Employees
6208,Takenaka,4.1,116,87 years old,,Osaka +13 more,201-500 Employees
6209,ValGenesis,3.1,116,19 years old,,South San Francisco +4 more,201-500 Employees
6210,Sigma Supply Chain Solutions,4.1,116,17 years old,,Noida +30 more,51-200 Employees
6211,Kaefer,4.4,116,106 years old,,Bremen +14 more,51-200 Employees
6212,Hindustan Platinum,3.7,116,63 years old,,Navi Mumbai +2 more,501-1k Employees
6213,Fedders Lloyd,4.3,116,Public,Delhi/NCR +24 more,67 years old,201-500 Employees
6214,Technosoft Corporation,3.3,116,,,,Chennai +6 more
6215,AXIS Solutions,3.6,116,25 years old,,Ahmedabad +14 more,51-200 Employees
6216,Nucon Aerospace,3.8,116,52 years old,,Hyderabad +4 more,201-500 Employees
6217,Globe Capital Market,3.5,116,Public,Eastcote +19 more,40 years old,1k-5k Employees
6218,Flowmore,4.2,116,78 years old,,Gurgaon/Gurugram +12 more,1k-5k Employees
6219,Simpolo Vitrified,3.8,116,47 years old,,Morbi +23 more,201-500 Employees
6220,Suzlon Gujarat Wind Park,4.3,116,29 years old,,Pune +24 more,5k-10k Employees
6221,Exel Rubber,4.0,116,Public,Hyderabad +5 more,34 years old,51-200 Employees
6222,Shankar Electricals,4.0,116,5 years old,,Bengaluru +7 more,201-500 Employees
6223,AMS Comtel BPMS,3.4,116,Noida +6 more,,,11 years old
6224,Arunachala Logistics,3.8,116,24 years old,,Hyderabad/Secunderabad +19 more,51-200 Employees
6225,Multi Organics,3.2,116,48 years old,,Mumbai +4 more,51-200 Employees
6226,Adlabs Imagica,4.2,116,14 years old,,Mumbai +6 more,201-500 Employees
6227,KerryIndev Logistics,3.6,116,40 years old,,Chennai +24 more,201-500 Employees
6228,Listenlights,3.6,116,38 years old,,Mumbai +7 more,51-200 Employees (Global)
6229,Tps Infrastructure,3.8,116,34 years old,,Delhi/NCR +11 more,201-500 Employees
6230,Sankara Eye Hospital,4.4,116,47 years old,,Coimbatore +17 more,1k-5k Employees
6231,Oman Shapoorji Llc,4.2,116,49 years old,,Muscat +6 more,51-200 Employees
6232,Million Minds Management Services,4.0,116,12 years old,,Noida +36 more,51-200 Employees
6233,LS Automotive India,3.7,116,18 years old,,Chennai +4 more,1k-5k Employees
6234,Privat Hospital,4.2,116,29 years old,,Gurgaon +49 more,201-500 Employees (Global)
6235,MGNREGA,3.7,116,33 years old,,New Delhi +63 more,501-1k Employees
6236,Bajaj Steel Industries,3.8,116,Public,Nagpur +7 more,63 years old,201-500 Employees
6237,Milky Mist Dairy Food,3.4,116,Startup,Erode +26 more,10 years old,501-1k Employees
6238,Futuresoft Solutions,3.4,116,28 years old,,New Delhi +18 more,201-500 Employees
6239,Osource Global,3.5,116,Navi Mumbai +3 more,,,1k-5k Employees
6240,Soch Apparels,4.1,116,19 years old,,Bengaluru +24 more,501-1k Employees
6241,iLabz Technology,3.1,116,10 years old,,Bangalore/Bengaluru +12 more,51-200 Employees
6242,Ribbon Communication,3.8,116,Bengaluru/Bangalore +6 more,,,1k-5k Employees
6243,Chennais Amirta International Institute of Hotel Management,3.5,116,14 years old,,Chennai +13 more,501-1k Employees
6244,Apna,3.4,116,Indian Unicorn,Bangalore +9 more,5 years old,501-1k Employees
6245,NEC Software Solutions,4.0,116,Mumbai +4 more,,,1k-5k Employees
6246,Smarter BIZ Technologies,3.0,116,Startup,Bangalore/Bengaluru +13 more,10 years old,51-200 Employees
6247,Square Bpo Services,3.4,116,12 years old,,SECUNDERABAD +4 more,1k-5k Employees
6248,Aditya Birla SunLife Asset Management Company,4.1,116,30 years old,,Mumbai +42 more,1k-5k Employees
6249,Agilysys Technologies India,3.7,116,61 years old,,Alpharetta +1 more,501-1k Employees
6250,Zeno Health,3.7,116,,,,Mumbai +12 more
6251,Crescendo Global,4.5,116,10 years old,,Gurgaon/Gurugram +2 more,51-200 Employees
6252,Promea Therapeutics,4.4,116,Startup,Hyderabad/Secunderabad +4 more,7 years old,51-200 Employees
6253,Chassis Brakes International,3.8,115,12 years old,,Amsterdam +8 more,5k-10k Employees (Global)
6254,Apis India,4.0,115,Public,Delhi/NCR +26 more,100 years old,201-500 Employees
6255,Digital Nirvana Information Systems,3.9,115,28 years old,,Fremont +2 more,201-500 Employees
6256,SONATRACH,3.7,115,61 years old,,Algiers,1-10 Employees
6257,Ideas2IT Technologies,4.0,115,15 years old,,Chennai +5 more,501-1k Employees
6258,Kitex Garments,3.3,115,Public,Kochi/Cochin +7 more,32 years old,1k-5k Employees
6259,TVS - SUNDARAM BRAKE LININGS,3.4,115,Public,Chennai +11 more,48 years old,1k-5k Employees
6260,SKS Ispat & Power,3.4,115,24 years old,,Delhi/NCR +7 more,201-500 Employees
6261,Imerys,4.2,115,144 years old,,Paris +17 more,51-200 Employees
6262,INTERPLEX,4.1,115,Singapore +7 more,,,54 years old
6263,Innova Captab,4.3,115,Public,Mumbai +10 more,18 years old,51-200 Employees
6264,Ravi Foods,3.9,115,36 years old,,Hyderabad/Secunderabad +25 more,501-1k Employees
6265,Spun Micro Processing,3.8,115,33 years old,,Gurugram +6 more,51-200 Employees
6266,Albert David,4.1,115,Public,Kolkata +23 more,86 years old,1k-5k Employees
6267,Paushak,3.4,115,Public,Vadodara/Baroda +4 more,52 years old,51-200 Employees
6268,Infinity Data Technologies,3.0,115,21 years old,,Rockville +7 more,201-500 Employees
6269,Attica Gold,4.4,115,11 years old,,Bengaluru +14 more,501-1k Employees
6270,Apis India,4.0,115,Public,Delhi/NCR +26 more,100 years old,201-500 Employees
6271,HTL,3.8,115,64 years old,,Chennai +7 more,51-200 Employees
6272,UnitedHealthcare Parekh Insurance TPA,4.0,115,47 years old,,Minnesota +10 more,51-200 Employees
6273,Ravindra Bharathi Schools,3.1,115,30 years old,,Hyderabad +21 more,11-50 Employees
6274,360 Degree Cloud Technologies,2.7,115,12 years old,,Faridabad +6 more,201-500 Employees
6275,Snowcem Paints,4.6,115,65 years old,,Mumbai +27 more,201-500 Employees
6276,Atotech,3.6,115,31 years old,,Berlin +10 more,201-500 Employees
6277,Essel Infraprojects,3.7,115,37 years old,,Noida +21 more,1k-5k Employees
6278,VASANTHA TOOL CRAFTS,4.1,115,35 years old,,Hyderabad +1 more,201-500 Employees
6279,Punjab and Maharashtra Co-operative Bank,3.9,115,Public,Mumbai +22 more,40 years old,10k-50k Employees (Global)
6280,Attica Gold,4.4,115,11 years old,,Bengaluru +14 more,501-1k Employees
6281,Innova Captab,4.3,115,Public,Mumbai +10 more,18 years old,51-200 Employees
6282,Harbinger Systems,3.7,115,34 years old,,Pune,501-1k Employees
6283,Steer Engineering,3.7,115,31 years old,,Bangalore/Bengaluru +3 more,51-200 Employees
6284,Education Culture,4.7,115,9 years old,,Ludhiana +7 more,51-200 Employees
6285,Edujobs Academy,3.8,115,11 years old,,Kolkata +23 more,51-200 Employees
6286,Amagi Media Labs,3.6,115,Indian Unicorn,Bangalore/Bengaluru +3 more,16 years old,201-500 Employees
6287,Hermes I Tickets,4.3,115,18 years old,,Chennai +17 more,51-200 Employees
6288,Lanco Anpara Power,4.2,115,64 years old,,Gurgaon +9 more,51-200 Employees
6289,Aster Cmi Hospital,4.0,115,Public,Bangalore/Bengaluru +3 more,37 years old,201-500 Employees
6290,Hirschvogel Components,4.0,115,86 years old,,Denklingen +1 more,5k-10k Employees
6291,Dr. Willmar Schwabe India,4.1,115,158 years old,,Karlsruhe +22 more,201-500 Employees
6292,INTERPLEX,4.1,115,Singapore +7 more,,,54 years old
6293,VASANTHA TOOL CRAFTS,4.1,115,35 years old,,Hyderabad +1 more,201-500 Employees
6294,SAMCO Securities,4.1,115,9 years old,,Mumbai +8 more,501-1k Employees
6295,Imerys,4.2,115,144 years old,,Paris +17 more,51-200 Employees
6296,SKS Ispat & Power,3.4,115,24 years old,,Delhi/NCR +7 more,201-500 Employees
6297,CPC Diagnostics,3.7,115,37 years old,,Chennai +21 more,201-500 Employees
6298,IL&FS Skills Development Corporation,3.6,115,13 years old,,Mumbai +43 more,11-50 Employees
6299,Hudson Agile Ventures,3.5,115,Chennai +8 more,,,51-200 Employees
6300,Annova Solutions,3.9,115,,,,Indore +2 more
6301,"L&T Construction, Mining and Industrial Machinery",4.4,115,Kancheepuram +24 more,,,1k-5k Employees
6302,IFortis Worldwide,3.6,115,3 years old,,Bengaluru/Bangalore +8 more,1k-5k Employees
6303,JSW Bhushan Power & Steel,4.1,115,,,,
6304,OptiSol Business Solutions,4.1,115,18 years old,,Chennai +3 more,201-500 Employees
6305,GD Goenka University,3.5,115,11 years old,,Gurgaon/Gurugram +16 more,201-500 Employees (Global)
6306,Harbinger Systems,3.7,115,34 years old,,Pune,501-1k Employees
6307,Steer Engineering,3.7,115,31 years old,,Bangalore/Bengaluru +3 more,51-200 Employees
6308,SAMCO Securities,4.1,115,9 years old,,Mumbai +8 more,501-1k Employees
6309,Edujobs Academy,3.8,115,11 years old,,Kolkata +23 more,51-200 Employees
6310,Amagi Media Labs,3.6,115,Indian Unicorn,Bangalore/Bengaluru +3 more,16 years old,201-500 Employees
6311,State Street Bank,3.7,114,232 years old,,Boston +10 more,5k-10k Employees
6312,Jivo Wellness,3.8,114,16 years old,,Delhi/NCR +15 more,51-200 Employees
6313,Rane Group,3.9,114,Public,,Chennai +19 more,1k-5k Employees
6314,Centillion Networks,3.6,114,17 years old,,Hyderabad/Secunderabad +2 more,51-200 Employees
6315,Market Xcel Data Matrix,2.7,114,24 years old,,Delhi/NCR +26 more,51-200 Employees
6316,Tata Realty and Infrastructure,4.0,114,Public,Mumbai +24 more,17 years old,501-1k Employees
6317,Mandovi Motors,4.3,114,40 years old,,Bangalore/Bengaluru +4 more,1k-5k Employees
6318,Rabindranath Tagore International Institute of Cardiac Sciences,3.7,114,Public,Kolkata +6 more,24 years old,201-500 Employees
6319,Goel Ganga Developments,3.9,114,42 years old,,Pune +1 more,51-200 Employees
6320,KRYFS POWER COMPONENTS,4.2,114,32 years old,,Mumbai +15 more,201-500 Employees
6321,Indian Acrylics,3.7,114,Public,Chandigarh +7 more,31 years old,501-1k Employees
6322,URS Scott Wilson India,4.3,114,73 years old,,Delhi/NCR +35 more,51-200 Employees
6323,Mega Rubber Technologies,4.2,114,29 years old,,Thane +11 more,501-1k Employees
6324,Ruby General Hospital,3.5,114,Public,Kolkata +4 more,29 years old,501-1k Employees
6325,Harita Fehrer,4.0,114,14 years old,,Hosur +5 more,51-200 Employees
6326,Atos Technologies,4.4,114,,,,
6327,Batra Hospital,4.0,114,37 years old,,Delhi/NCR +3 more,51-200 Employees
6328,Regus,2.7,114,35 years old,,Luxembourg City +21 more,1k-5k Employees
6329,Electrical Manufacturing Company,4.2,114,71 years old,,Kolkata +36 more,5k-10k Employees
6330,Krystal Integrated Services,4.0,114,24 years old,,Mumbai +17 more,201-500 Employees
6331,Ginger Webs,3.0,114,16 years old,,Noida +10 more,201-500 Employees
6332,SAGE Publications,3.9,114,59 years old,,Thousand Oaks +3 more,201-500 Employees
6333,Ace Creative Learning,3.9,114,26 years old,,Bangalore +14 more,1k-5k Employees
6334,Gateway Group,2.7,114,27 years old,,Ahmedabad +5 more,501-1k Employees
6335,Outlook,3.4,114,,,,New Delhi +12 more
6336,Toluna,3.7,114,24 years old,,Norwalk +4 more,501-1k Employees
6337,Cethar,3.3,114,43 years old,,Tiruchirapalli  +12 more,501-1k Employees
6338,Cogniter Technologies,3.8,114,21 years old,,Chandigarh +19 more,51-200 Employees
6339,Dollar Industries,3.9,114,Public,Kolkata +25 more,28 years old,501-1k Employees
6340,Sikka Group,3.1,114,38 years old,,New Delhi +7 more,201-500 Employees
6341,Enquero,4.2,114,10 years old,,Milpitas +3 more,501-1k Employees
6342,Virtusa Software Services,3.7,114,Public,Southborough +7 more,28 years old,5k-10k Employees
6343,G.S.E.C,4.0,114,59 years old,,Ahmedabad +12 more,51-200 Employees
6344,Okinawa Autotech,3.6,114,Startup,Gurgaon +17 more,8 years old,51-200 Employees
6345,GO MO Group AB,4.1,114,10 years old,,Kista,11-50 Employees
6346,Pioneer e Solutions,3.6,114,12 years old,,New Delhi +33 more,11-50 Employees
6347,Eastern Coalfields,3.8,114,49 years old,,West Bengal +14 more,50k-1 Lakh Employees (Global)
6348,Raptim Research,4.1,114,19 years old,,Mumbai +2 more,201-500 Employees
6349,The Web Plant,4.2,114,New Delhi +1 more,,,13 years old
6350,Prism Cement - Prism Johnson,4.0,114,Satna +34 more,,,1k-5k Employees
6351,Sun Mobility,3.9,114,Startup,Bangalore +5 more,7 years old,11-50 Employees
6352,Vogo Automotive,3.9,114,Startup,Montpellier +11 more,8 years old,51-200 Employees
6353,Omprime Technology Private Limited,4.0,114,5 years old,,Gurgaon/Gurugram +4 more,51-200 Employees
6354,CBNITS,4.3,114,6 years old,,Fremont +1 more,201-500 Employees
6355,Andhra Paper,3.6,114,Public,Hyderabad/Secunderabad +8 more,60 years old,1k-5k Employees
6356,Country Club Hospitality & Holidays,3.7,114,35 years old,,Hyderabad +19 more,201-500 Employees
6357,Daimler Truck,3.8,114,,,,
6358,Ultra Corpotech,3.9,114,33 years old,,Pune +1 more,201-500 Employees
6359,Mobase,4.1,114,46 years old,,Ansan-si +8 more,1k-5k Employees (Global)
6360,Omprime Technology Private Limited,4.0,114,5 years old,,Gurgaon/Gurugram +4 more,51-200 Employees
